applicant_id,age,employment_type,tier_city,cibil_score,monthly_income,existing_obligations
APP-000001,32,Salaried,Tier 2,707,56420,19666
APP-000002,30,Self-Employed,Tier 2,683,82043,24346
APP-000003,48,Self-Employed,Tier 1,638,129843,14460
APP-000004,25,Salaried,Tier 2,690,51083,9517
APP-000005,49,Salaried,Tier 2,808,71898,13837
APP-000006,37,Salaried,Tier 3,734,47851,9769
APP-000007,39,Salaried,Tier 1,700,86551,18765
APP-000008,35,Self-Employed,Tier 2,675,50036,19104
APP-000009,54,Salaried,Tier 2,722,54128,17459
APP-000010,47,Self-Employed,Tier 2,810,47362,14567
APP-000011,28,Salaried,Tier 3,723,41500,9460
APP-000012,32,Self-Employed,Tier 2,778,165520,33313
APP-000013,31,Self-Employed,Tier 3,674,76359,10375
APP-000014,51,Salaried,Tier 2,728,61947,14622
APP-000015,37,Salaried,Tier 2,682,47187,7625
APP-000016,45,Salaried,Tier 1,762,93044,20218
APP-000017,29,Salaried,Tier 1,691,126855,18637
APP-000018,25,Salaried,Tier 1,693,335363,68145
APP-000019,49,Salaried,Tier 1,787,60200,6796
APP-000020,40,Salaried,Tier 1,692,100798,10261
APP-000021,35,Salaried,Tier 1,647,54292,19597
APP-000022,46,Salaried,Tier 1,764,97688,28561
APP-000023,42,Salaried,Tier 3,727,77970,21543
APP-000024,48,Salaried,Tier 1,731,92971,23627
APP-000025,33,Salaried,Tier 2,727,44527,14160
APP-000026,54,Self-Employed,Tier 1,686,77288,24797
APP-000027,28,Salaried,Tier 3,709,47666,18140
APP-000028,31,Salaried,Tier 3,799,18660,3234
APP-000029,52,Salaried,Tier 2,680,39646,13303
APP-000030,52,Salaried,Tier 2,757,51106,20306
APP-000031,47,Salaried,Tier 1,765,63109,6860
APP-000032,31,Salaried,Tier 3,709,64569,13701
APP-000033,37,Salaried,Tier 3,699,40994,9461
APP-000034,43,Self-Employed,Tier 3,670,58587,20303
APP-000035,31,Self-Employed,Tier 2,757,177005,18430
APP-000036,45,Self-Employed,Tier 2,758,110580,30916
APP-000037,52,Salaried,Tier 3,775,80478,29597
APP-000038,52,Salaried,Tier 1,741,84768,12231
APP-000039,31,Self-Employed,Tier 2,780,57740,7775
APP-000040,37,Salaried,Tier 1,809,62204,24877
APP-000041,28,Salaried,Tier 3,718,35319,12283
APP-000042,36,Salaried,Tier 1,723,244064,75470
APP-000043,32,Salaried,Tier 1,750,179087,39344
APP-000044,40,Self-Employed,Tier 2,806,94249,33570
APP-000045,35,Salaried,Tier 2,818,121989,45969
APP-000046,28,Self-Employed,Tier 2,667,15234,4870
APP-000047,45,Salaried,Tier 1,773,50360,11050
APP-000048,53,Salaried,Tier 1,769,66799,18373
APP-000049,39,Salaried,Tier 2,734,194460,25193
APP-000050,50,Salaried,Tier 3,771,142318,20978
APP-000051,36,Self-Employed,Tier 3,674,88098,29505
APP-000052,47,Self-Employed,Tier 2,796,50437,5487
APP-000053,26,Self-Employed,Tier 3,702,64803,7436
APP-000054,47,Self-Employed,Tier 2,639,23040,5815
APP-000055,47,Salaried,Tier 2,694,95358,14414
APP-000056,30,Self-Employed,Tier 2,633,16688,3139
APP-000057,53,Salaried,Tier 2,816,51567,11326
APP-000058,42,Salaried,Tier 2,727,129523,33245
APP-000059,48,Salaried,Tier 2,738,85850,15887
APP-000060,46,Salaried,Tier 2,797,27862,6827
APP-000061,36,Salaried,Tier 1,727,121417,25643
APP-000062,40,Salaried,Tier 1,692,48527,6032
APP-000063,25,Self-Employed,Tier 2,723,62267,22424
