loan_id,applicant_id,sanction_amount,ltv_ratio,interest_rate,tenure_months,branch_code
LN-000001,APP-000001,2700000,0.72,9.25,180,BR-001
LN-000002,APP-000002,4300000,0.79,9.25,240,BR-002
LN-000003,APP-000003,7900000,0.77,10.0,180,BR-005
LN-000004,APP-000004,2300000,0.64,9.25,120,BR-005
LN-000005,APP-000005,3900000,0.79,8.5,360,BR-005
LN-000006,APP-000006,3100000,0.85,9.25,240,BR-003
LN-000007,APP-000007,4100000,0.65,9.25,180,BR-001
LN-000008,APP-000008,2100000,0.87,9.25,180,BR-003
LN-000009,APP-000009,3600000,0.82,9.25,240,BR-005
LN-000010,APP-000010,3000000,0.8,8.5,180,BR-001
LN-000011,APP-000011,2500000,0.64,9.25,120,BR-003
LN-000012,APP-000012,7100000,0.88,8.5,240,BR-004
LN-000013,APP-000013,5100000,0.74,9.25,240,BR-004
LN-000014,APP-000014,3000000,0.76,9.25,240,BR-001
LN-000015,APP-000015,2200000,0.75,9.25,240,BR-005
LN-000016,APP-000016,5100000,0.76,8.5,240,BR-005
LN-000017,APP-000017,8600000,0.85,9.25,360,BR-005
LN-000018,APP-000018,23400000,0.63,9.25,240,BR-005
LN-000019,APP-000019,3500000,0.75,8.5,180,BR-005
LN-000020,APP-000020,6900000,0.78,9.25,240,BR-002
LN-000021,APP-000021,2900000,0.74,10.0,240,BR-005
LN-000022,APP-000022,4000000,0.77,8.5,240,BR-003
LN-000023,APP-000023,3800000,0.75,9.25,360,BR-001
LN-000024,APP-000024,4600000,0.67,9.25,120,BR-002
LN-000025,APP-000025,2800000,0.68,9.25,120,BR-005
LN-000026,APP-000026,3400000,0.63,9.25,120,BR-003
LN-000027,APP-000027,2200000,0.81,9.25,240,BR-005
LN-000028,APP-000028,1100000,0.64,8.5,360,BR-004
LN-000029,APP-000029,1700000,0.84,9.25,240,BR-001
LN-000030,APP-000030,2800000,0.87,8.5,240,BR-004
LN-000031,APP-000031,2600000,0.67,8.5,240,BR-005
LN-000032,APP-000032,3900000,0.68,9.25,360,BR-004
LN-000033,APP-000033,2800000,0.64,9.25,360,BR-003
LN-000034,APP-000034,3900000,0.76,9.25,240,BR-002
LN-000035,APP-000035,7500000,0.89,8.5,360,BR-003
LN-000036,APP-000036,6400000,0.67,8.5,240,BR-003
LN-000037,APP-000037,3500000,0.65,8.5,240,BR-001
LN-000038,APP-000038,3500000,0.78,9.25,120,BR-001
LN-000039,APP-000039,3400000,0.86,8.5,180,BR-004
LN-000040,APP-000040,3600000,0.86,8.5,240,BR-005
LN-000041,APP-000041,1500000,0.7,9.25,240,BR-004
LN-000042,APP-000042,12400000,0.84,9.25,180,BR-002
LN-000043,APP-000043,8900000,0.78,9.25,240,BR-005
LN-000044,APP-000044,4700000,0.82,8.5,240,BR-003
LN-000045,APP-000045,6100000,0.8,8.5,240,BR-003
LN-000046,APP-000046,1000000,0.64,9.25,240,BR-002
LN-000047,APP-000047,2500000,0.71,8.5,180,BR-005
LN-000048,APP-000048,3300000,0.83,8.5,240,BR-002
LN-000049,APP-000049,8000000,0.83,9.25,240,BR-004
LN-000050,APP-000050,9100000,0.64,8.5,120,BR-002
LN-000051,APP-000051,5300000,0.74,9.25,240,BR-001
LN-000052,APP-000052,2500000,0.86,8.5,240,BR-002
LN-000053,APP-000053,3500000,0.84,9.25,240,BR-005
LN-000054,APP-000054,1500000,0.87,10.0,180,BR-004
LN-000055,APP-000055,4800000,0.66,9.25,120,BR-001
LN-000056,APP-000056,900000,0.8,10.0,180,BR-004
LN-000057,APP-000057,2100000,0.8,8.5,240,BR-003
LN-000058,APP-000058,8700000,0.83,9.25,180,BR-001
LN-000059,APP-000059,4400000,0.78,9.25,120,BR-002
LN-000060,APP-000060,1400000,0.72,8.5,120,BR-004
LN-000061,APP-000061,7100000,0.77,9.25,180,BR-002
LN-000062,APP-000062,2700000,0.6,9.25,240,BR-002
LN-000063,APP-000063,3200000,0.82,9.25,240,BR-004
LN-000064,APP-000064,4400000,0.85,8.5,240,BR-002
LN-000065,APP-000065,6000000,0.61,9.25,240,BR-001
LN-000066,APP-000066,2500000,0.72,8.5,180,BR-004
LN-000067,APP-000067,5200000,0.85,8.5,180,BR-005
LN-000068,APP-000068,5800000,0.78,9.25,240,BR-002
LN-000069,APP-000069,3700000,0.75,9.25,120,BR-003
LN-000070,APP-000070,8700000,0.73,10.0,360,BR-004
LN-000071,APP-000071,4500000,0.82,8.5,360,BR-003
LN-000072,APP-000072,4800000,0.81,8.5,240,BR-005
LN-000073,APP-000073,6400000,0.78,8.5,180,BR-005
LN-000074,APP-000074,3900000,0.72,10.0,180,BR-003
LN-000075,APP-000075,2100000,0.79,8.5,240,BR-004
LN-000076,APP-000076,10600000,0.62,9.25,180,BR-003
LN-000077,APP-000077,6900000,0.85,9.25,180,BR-001
LN-000078,APP-000078,2200000,0.86,8.5,180,BR-002
LN-000079,APP-000079,4700000,0.76,8.5,180,BR-005
LN-000080,APP-000080,7100000,0.85,9.25,240,BR-005
LN-000081,APP-000081,4700000,0.72,9.25,240,BR-005
LN-000082,APP-000082,5300000,0.69,9.25,240,BR-001
LN-000083,APP-000083,3600000,0.75,9.25,180,BR-001
LN-000084,APP-000084,4500000,0.77,8.5,180,BR-001
LN-000085,APP-000085,5900000,0.83,9.25,240,BR-003
LN-000086,APP-000086,4300000,0.78,8.5,240,BR-003
LN-000087,APP-000087,2400000,0.86,9.25,360,BR-002
LN-000088,APP-000088,2000000,0.88,9.25,240,BR-003
LN-000089,APP-000089,2100000,0.76,8.5,240,BR-005
LN-000090,APP-000090,4200000,0.82,8.5,180,BR-001
LN-000091,APP-000091,7000000,0.74,9.25,240,BR-005
LN-000092,APP-000092,4000000,0.87,9.25,240,BR-001
LN-000093,APP-000093,4200000,0.61,9.25,240,BR-003
LN-000094,APP-000094,3300000,0.82,9.25,360,BR-002
LN-000095,APP-000095,2700000,0.75,9.25,240,BR-004
LN-000096,APP-000096,6600000,0.62,9.25,180,BR-001
LN-000097,APP-000097,2100000,0.82,9.25,180,BR-001
LN-000098,APP-000098,3700000,0.72,8.5,360,BR-005
LN-000099,APP-000099,14700000,0.76,9.25,360,BR-002
LN-000100,APP-000100,12800000,0.81,8.5,240,BR-002
LN-000101,APP-000101,3300000,0.68,9.25,240,BR-002
LN-000102,APP-000102,2400000,0.69,9.25,240,BR-004
LN-000103,APP-000103,1800000,0.71,8.5,240,BR-005
LN-000104,APP-000104,2500000,0.82,9.25,180,BR-002
LN-000105,APP-000105,5600000,0.89,9.25,120,BR-005
LN-000106,APP-000106,3200000,0.71,9.25,120,BR-003
LN-000107,APP-000107,10600000,0.78,9.25,240,BR-002
LN-000108,APP-000108,7900000,0.7,8.5,240,BR-004
LN-000109,APP-000109,7500000,0.86,9.25,360,BR-004
LN-000110,APP-000110,4200000,0.88,9.25,240,BR-003
LN-000111,APP-000111,3700000,0.66,9.25,360,BR-003
LN-000112,APP-000112,2700000,0.8,8.5,240,BR-004
LN-000113,APP-000113,3200000,0.87,9.25,240,BR-001
LN-000114,APP-000114,2300000,0.74,9.25,180,BR-004
LN-000115,APP-000115,9600000,0.7,8.5,240,BR-005
LN-000116,APP-000116,7300000,0.87,9.25,180,BR-004
LN-000117,APP-000117,2800000,0.68,8.5,240,BR-004
LN-000118,APP-000118,2300000,0.66,8.5,180,BR-003
LN-000119,APP-000119,3200000,0.86,8.5,180,BR-003
LN-000120,APP-000120,4000000,0.79,9.25,240,BR-001
LN-000121,APP-000121,3100000,0.76,10.0,180,BR-003
LN-000122,APP-000122,8100000,0.79,9.25,180,BR-004
LN-000123,APP-000123,3500000,0.86,9.25,180,BR-001
LN-000124,APP-000124,4600000,0.63,9.25,240,BR-005
LN-000125,APP-000125,3600000,0.68,8.5,180,BR-001
LN-000126,APP-000126,1700000,0.78,9.25,240,BR-003
LN-000127,APP-000127,3000000,0.73,10.0,120,BR-001
LN-000128,APP-000128,1700000,0.87,8.5,240,BR-004
LN-000129,APP-000129,4600000,0.78,8.5,240,BR-001
LN-000130,APP-000130,6900000,0.78,9.25,240,BR-001
LN-000131,APP-000131,1500000,0.62,8.5,240,BR-002
LN-000132,APP-000132,5200000,0.73,8.5,240,BR-001
LN-000133,APP-000133,6800000,0.66,9.25,180,BR-001
LN-000134,APP-000134,1300000,0.84,9.25,240,BR-005
LN-000135,APP-000135,3400000,0.7,8.5,240,BR-002
LN-000136,APP-000136,4900000,0.72,9.25,240,BR-005
LN-000137,APP-000137,3700000,0.79,8.5,240,BR-002
LN-000138,APP-000138,4000000,0.9,10.0,360,BR-001
LN-000139,APP-000139,5900000,0.84,9.25,180,BR-004
LN-000140,APP-000140,4200000,0.65,9.25,360,BR-005
LN-000141,APP-000141,3400000,0.68,8.5,240,BR-003
LN-000142,APP-000142,5900000,0.63,9.25,240,BR-003
LN-000143,APP-000143,2200000,0.86,9.25,360,BR-002
LN-000144,APP-000144,900000,0.69,8.5,360,BR-002
LN-000145,APP-000145,1100000,0.64,9.25,180,BR-003
LN-000146,APP-000146,2900000,0.69,9.25,240,BR-004
LN-000147,APP-000147,3300000,0.62,9.25,240,BR-001
LN-000148,APP-000148,2900000,0.85,9.25,240,BR-005
LN-000149,APP-000149,3100000,0.69,9.25,180,BR-004
LN-000150,APP-000150,5500000,0.71,9.25,360,BR-005
LN-000151,APP-000151,4100000,0.88,9.25,240,BR-005
LN-000152,APP-000152,11700000,0.66,8.5,180,BR-001
LN-000153,APP-000153,1300000,0.66,8.5,360,BR-001
LN-000154,APP-000154,4900000,0.77,9.25,360,BR-005
LN-000155,APP-000155,3600000,0.89,9.25,180,BR-001
LN-000156,APP-000156,3300000,0.87,9.25,240,BR-001
LN-000157,APP-000157,7500000,0.78,8.5,180,BR-004
LN-000158,APP-000158,2400000,0.84,9.25,180,BR-005
LN-000159,APP-000159,3200000,0.75,9.25,240,BR-003
LN-000160,APP-000160,8300000,0.83,10.0,240,BR-004
LN-000161,APP-000161,2200000,0.72,9.25,120,BR-001
LN-000162,APP-000162,2400000,0.74,8.5,240,BR-003
LN-000163,APP-000163,1400000,0.81,8.5,180,BR-004
LN-000164,APP-000164,5600000,0.85,8.5,180,BR-004
LN-000165,APP-000165,2200000,0.77,9.25,240,BR-001
LN-000166,APP-000166,7400000,0.86,8.5,240,BR-005
LN-000167,APP-000167,3300000,0.79,9.25,240,BR-002
LN-000168,APP-000168,2900000,0.84,9.25,240,BR-002
LN-000169,APP-000169,2100000,0.81,9.25,240,BR-003
LN-000170,APP-000170,5100000,0.83,8.5,180,BR-002
LN-000171,APP-000171,3800000,0.61,9.25,180,BR-005
LN-000172,APP-000172,7200000,0.86,8.5,120,BR-005
LN-000173,APP-000173,4700000,0.87,8.5,180,BR-003
LN-000174,APP-000174,5000000,0.85,9.25,240,BR-001
LN-000175,APP-000175,9600000,0.82,8.5,120,BR-001
LN-000176,APP-000176,2700000,0.84,8.5,180,BR-003
LN-000177,APP-000177,4000000,0.65,9.25,180,BR-002
LN-000178,APP-000178,4300000,0.61,8.5,240,BR-002
LN-000179,APP-000179,3600000,0.79,10.0,240,BR-003
LN-000180,APP-000180,5600000,0.73,9.25,240,BR-004
LN-000181,APP-000181,2600000,0.68,9.25,240,BR-003
LN-000182,APP-000182,2800000,0.86,8.5,360,BR-001
LN-000183,APP-000183,7700000,0.89,8.5,240,BR-002
LN-000184,APP-000184,5000000,0.83,9.25,240,BR-004
LN-000185,APP-000185,2800000,0.74,9.25,180,BR-004
LN-000186,APP-000186,5300000,0.64,9.25,240,BR-002
LN-000187,APP-000187,2000000,0.86,9.25,240,BR-004
LN-000188,APP-000188,2200000,0.85,9.25,240,BR-004
LN-000189,APP-000189,9300000,0.65,9.25,180,BR-003
LN-000190,APP-000190,5700000,0.61,8.5,180,BR-003
LN-000191,APP-000191,3300000,0.87,9.25,180,BR-005
LN-000192,APP-000192,6500000,0.85,9.25,180,BR-002
LN-000193,APP-000193,3200000,0.88,8.5,240,BR-005
LN-000194,APP-000194,4800000,0.71,8.5,240,BR-003
LN-000195,APP-000195,7700000,0.8,9.25,180,BR-001
LN-000196,APP-000196,13800000,0.86,8.5,240,BR-003
LN-000197,APP-000197,6600000,0.8,10.0,240,BR-005
LN-000198,APP-000198,5900000,0.74,8.5,240,BR-004
LN-000199,APP-000199,7200000,0.86,10.0,180,BR-002
LN-000200,APP-000200,4500000,0.71,10.0,240,BR-001
LN-000201,APP-000201,2900000,0.85,8.5,360,BR-003
LN-000202,APP-000202,2600000,0.88,8.5,240,BR-001
LN-000203,APP-000203,4300000,0.73,9.25,180,BR-004
